GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;PREÇO MÉDIO1 DO ETANOL HIDRATADO COMBUSTÍVEL AO CONSUMIDOR;ANO
Região Norte;Amapá;3,841;2018
Região Norte;Amapá;3,705571429;2019
Região Norte;Amapá;3,794333333;2020
Região Norte;Amapá;5,309454545;2021
Região Norte;Tocantins;2,174;2012
Região Norte;Tocantins;2,248583333;2013
Região Norte;Tocantins;2,341166667;2014
Região Norte;Tocantins;2,635666667;2015
Região Norte;Tocantins;3,236916667;2016
Região Norte;Tocantins;3,387083333;2017
Região Norte;Tocantins;3,666;2018
Região Norte;Tocantins;3,683333333;2019
Região Norte;Tocantins;3,606454545;2020
Região Norte;Tocantins;5,00025;2021
Região Nordeste;Maranhão;2,185;2012
Região Nordeste;Maranhão;2,347666667;2013
Região Nordeste;Maranhão;2,537;2014
Região Nordeste;Maranhão;2,734833333;2015
Região Nordeste;Maranhão;3,223416667;2016
Região Nordeste;Maranhão;3,28375;2017
Região Nordeste;Maranhão;3,5415;2018
Região Nordeste;Maranhão;3,6535;2019
Região Nordeste;Maranhão;3,616545455;2020
Região Nordeste;Maranhão;4,88;2021
Região Nordeste;Piauí;2,277;2012
Região Nordeste;Piauí;2,406;2013
Região Nordeste;Piauí;2,550666667;2014
Região Nordeste;Piauí;2,726833333;2015
Região Nordeste;Piauí;3,093583333;2016
Região Nordeste;Piauí;3,069;2017
Região Nordeste;Piauí;3,39975;2018
Região Nordeste;Piauí;3,441666667;2019
Região Nordeste;Piauí;3,429181818;2020
Região Nordeste;Piauí;4,9145;2021
Região Nordeste;Ceará;2,162;2012
Região Nordeste;Ceará;2,3325;2013
Região Nordeste;Ceará;2,461583333;2014
Região Nordeste;Ceará;2,682333333;2015
Região Nordeste;Ceará;3,2205;2016
Região Nordeste;Ceará;3,274583333;2017
Região Nordeste;Ceará;3,589833333;2018
Região Nordeste;Ceará;3,697416667;2019
Região Nordeste;Ceará;3,629363636;2020
Região Nordeste;Ceará;4,997416667;2021
Região Nordeste;Rio Grande do Norte;2,23;2012
Região Nordeste;Rio Grande do Norte;2,417916667;2013
Região Nordeste;Rio Grande do Norte;2,622;2014
Região Nordeste;Rio Grande do Norte;2,69925;2015
Região Nordeste;Rio Grande do Norte;3,187833333;2016
Região Nordeste;Rio Grande do Norte;3,21925;2017
Região Nordeste;Rio Grande do Norte;3,472;2018
Região Nordeste;Rio Grande do Norte;3,60875;2019
Região Nordeste;Rio Grande do Norte;3,611545455;2020
Região Nordeste;Rio Grande do Norte;5,1295;2021
Região Nordeste;Paraíba;2,167;2012
Região Nordeste;Paraíba;2,2595;2013
Região Nordeste;Paraíba;2,288;2014
Região Nordeste;Paraíba;2,3985;2015
Região Nordeste;Paraíba;3,017166667;2016
Região Nordeste;Paraíba;2,99625;2017
Região Nordeste;Paraíba;3,17375;2018
Região Nordeste;Paraíba;3,282916667;2019
Região Nordeste;Paraíba;3,119454545;2020
Região Nordeste;Paraíba;4,617416667;2021
Região Nordeste;Pernambuco;2,145;2012
Região Nordeste;Pernambuco;2,2745;2013
Região Nordeste;Pernambuco;2,387083333;2014
Região Nordeste;Pernambuco;2,492416667;2015
Região Nordeste;Pernambuco;2,964333333;2016
Região Nordeste;Pernambuco;2,96075;2017
Região Nordeste;Pernambuco;3,22075;2018
Região Nordeste;Pernambuco;3,37475;2019
Região Nordeste;Pernambuco;3,379;2020
Região Nordeste;Pernambuco;4,760416667;2021
Região Nordeste;Alagoas;2,271;2012
Região Nordeste;Alagoas;2,427416667;2013
Região Nordeste;Alagoas;2,528416667;2014
Região Nordeste;Alagoas;2,640666667;2015
Região Nordeste;Alagoas;3,225;2016
Região Nordeste;Alagoas;3,217916667;2017
Região Nordeste;Alagoas;3,47125;2018
Região Nordeste;Alagoas;3,5415;2019
Região Nordeste;Alagoas;3,483636364;2020
Região Nordeste;Alagoas;4,828416667;2021
Região Nordeste;Sergipe;2,288;2012
Região Nordeste;Sergipe;2,475333333;2013
Região Nordeste;Sergipe;2,503666667;2014
Região Nordeste;Sergipe;2,64575;2015
Região Nordeste;Sergipe;3,136333333;2016
Região Nordeste;Sergipe;3,155583333;2017
Região Nordeste;Sergipe;3,513166667;2018
Região Nordeste;Sergipe;3,4795;2019
Região Nordeste;Sergipe;3,532454545;2020
Região Nordeste;Sergipe;4,863833333;2021
Região Nordeste;Bahia;2,106;2012
Região Nordeste;Bahia;2,240833333;2013
Região Nordeste;Bahia;2,366333333;2014
