TIPO DE PRODUTO;PAÍS;IMPORTAÇÃO DE GÁS NATURAL;ANO
Gás Natural Liquefeito (GNL)1 (b);Estados Unidos;376,35132;2017
Gás Natural Liquefeito (GNL)1 (b);Estados Unidos;730,468254;2018
Gás Natural Liquefeito (GNL)1 (b);Estados Unidos;1330,971272;2019
Gás Natural Liquefeito (GNL)1 (b);Estados Unidos;912,100476;2020
Gás Natural Liquefeito (GNL)1 (b);Estados Unidos;8222,054603;2021
Gás Natural Liquefeito (GNL)1 (b);França;77;2012
Gás Natural Liquefeito (GNL)1 (b);França;56,6968734;2013
Gás Natural Liquefeito (GNL)1 (b);França;0;2014
Gás Natural Liquefeito (GNL)1 (b);França;130,846464;2015
Gás Natural Liquefeito (GNL)1 (b);França;0;2016
Gás Natural Liquefeito (GNL)1 (b);França;82,402812;2017
Gás Natural Liquefeito (GNL)1 (b);França;87,217308;2018
Gás Natural Liquefeito (GNL)1 (b);França;0;2019
Gás Natural Liquefeito (GNL)1 (b);França;0;2020
Gás Natural Liquefeito (GNL)1 (b);França;0;2021
Gás Natural Liquefeito (GNL)1 (b);Guiné Equatorial;0;2012
Gás Natural Liquefeito (GNL)1 (b);Guiné Equatorial;0;2013
Gás Natural Liquefeito (GNL)1 (b);Guiné Equatorial;464,9020704;2014
Gás Natural Liquefeito (GNL)1 (b);Guiné Equatorial;175,631034;2015
Gás Natural Liquefeito (GNL)1 (b);Guiné Equatorial;161,861304;2016
Gás Natural Liquefeito (GNL)1 (b);Guiné Equatorial;0;2017
Gás Natural Liquefeito (GNL)1 (b);Guiné Equatorial;0;2018
Gás Natural Liquefeito (GNL)1 (b);Guiné Equatorial;91,586952;2019
Gás Natural Liquefeito (GNL)1 (b);Guiné Equatorial;0;2020
Gás Natural Liquefeito (GNL)1 (b);Guiné Equatorial;0;2021
Gás Natural Liquefeito (GNL)1 (b);Nigéria;451;2012
Gás Natural Liquefeito (GNL)1 (b);Nigéria;850,6978338;2013
Gás Natural Liquefeito (GNL)1 (b);Nigéria;1504,771381;2014
Gás Natural Liquefeito (GNL)1 (b);Nigéria;1829,228057;2015
Gás Natural Liquefeito (GNL)1 (b);Nigéria;1095,342869;2016
Gás Natural Liquefeito (GNL)1 (b);Nigéria;729,958164;2017
Gás Natural Liquefeito (GNL)1 (b);Nigéria;351,003042;2018
Gás Natural Liquefeito (GNL)1 (b);Nigéria;345,104196;2019
Gás Natural Liquefeito (GNL)1 (b);Nigéria;26,919672;2020
Gás Natural Liquefeito (GNL)1 (b);Nigéria;20,9154924;2021
Gás Natural Liquefeito (GNL)1 (b);Noruega;168;2012
Gás Natural Liquefeito (GNL)1 (b);Noruega;398,1768042;2013
Gás Natural Liquefeito (GNL)1 (b);Noruega;575,5199964;2014
Gás Natural Liquefeito (GNL)1 (b);Noruega;822,7008732;2015
Gás Natural Liquefeito (GNL)1 (b);Noruega;252,292278;2016
Gás Natural Liquefeito (GNL)1 (b);Noruega;0;2017
Gás Natural Liquefeito (GNL)1 (b);Noruega;241,847868;2018
Gás Natural Liquefeito (GNL)1 (b);Noruega;250,699782;2019
Gás Natural Liquefeito (GNL)1 (b);Noruega;0;2020
Gás Natural Liquefeito (GNL)1 (b);Noruega;0;2021
Gás Natural Liquefeito (GNL)1 (b);Países Baixos (Holanda);0;2012
Gás Natural Liquefeito (GNL)1 (b);Países Baixos (Holanda);0;2013
Gás Natural Liquefeito (GNL)1 (b);Países Baixos (Holanda);284,8679832;2014
Gás Natural Liquefeito (GNL)1 (b);Países Baixos (Holanda);147,4359582;2015
Gás Natural Liquefeito (GNL)1 (b);Países Baixos (Holanda);0;2016
Gás Natural Liquefeito (GNL)1 (b);Países Baixos (Holanda);0;2017
Gás Natural Liquefeito (GNL)1 (b);Países Baixos (Holanda);4,90158;2018
Gás Natural Liquefeito (GNL)1 (b);Países Baixos (Holanda);190,8755136;2019
Gás Natural Liquefeito (GNL)1 (b);Países Baixos (Holanda);0;2020
Gás Natural Liquefeito (GNL)1 (b);Países Baixos (Holanda);89,423748;2021
Gás Natural Liquefeito (GNL)1 (b);Portugal;67;2012
Gás Natural Liquefeito (GNL)1 (b);Portugal;5,9607462;2013
Gás Natural Liquefeito (GNL)1 (b);Portugal;220,6342584;2014
Gás Natural Liquefeito (GNL)1 (b);Portugal;249,609441;2015
Gás Natural Liquefeito (GNL)1 (b);Portugal;0;2016
Gás Natural Liquefeito (GNL)1 (b);Portugal;0;2017
Gás Natural Liquefeito (GNL)1 (b);Portugal;0;2018
Gás Natural Liquefeito (GNL)1 (b);Portugal;0;2019
Gás Natural Liquefeito (GNL)1 (b);Portugal;0;2020
Gás Natural Liquefeito (GNL)1 (b);Portugal;0;2021
Gás Natural Liquefeito (GNL)1 (b);Reino Unido;0;2012
Gás Natural Liquefeito (GNL)1 (b);Reino Unido;0;2013
Gás Natural Liquefeito (GNL)1 (b);Reino Unido;0;2014
Gás Natural Liquefeito (GNL)1 (b);Reino Unido;88,704888;2015
Gás Natural Liquefeito (GNL)1 (b);Reino Unido;75,030864;2016
Gás Natural Liquefeito (GNL)1 (b);Reino Unido;0;2017
Gás Natural Liquefeito (GNL)1 (b);Reino Unido;0;2018
Gás Natural Liquefeito (GNL)1 (b);Reino Unido;0;2019
Gás Natural Liquefeito (GNL)1 (b);Reino Unido;0;2020
Gás Natural Liquefeito (GNL)1 (b);Reino Unido;0;2021
Gás Natural Liquefeito (GNL)1 (b);Trinidad e Tobago;846;2012
Gás Natural Liquefeito (GNL)1 (b);Trinidad e Tobago;2183,699833;2013
Gás Natural Liquefeito (GNL)1 (b);Trinidad e Tobago;1478,874043;2014
Gás Natural Liquefeito (GNL)1 (b);Trinidad e Tobago;1764,467383;2015
Gás Natural Liquefeito (GNL)1 (b);Trinidad e Tobago;273,3010968;2016
Gás Natural Liquefeito (GNL)1 (b);Trinidad e Tobago;80,967912;2017
Gás Natural Liquefeito (GNL)1 (b);Trinidad e Tobago;818,16966;2018
Gás Natural Liquefeito (GNL)1 (b);Trinidad e Tobago;572,532576;2019
Gás Natural Liquefeito (GNL)1 (b);Trinidad e Tobago;161,329992;2020
Gás Natural Liquefeito (GNL)1 (b);Trinidad e Tobago;248,68998;2021
