RODADA DE LICITAÇÃO;ANO;TIPO DE DADO;VALOR DA VARIÁVEL
Rodada 2;2000;Área offshore arrematada (km2);37.847
Rodada 3;2001;Área offshore arrematada (km2);46.266
Rodada 4;2002;Área offshore arrematada (km2);14.669
Rodada 5;2003;Área offshore arrematada (km2);21.951
Rodada 6;2004;Área offshore arrematada (km2);36.811
Rodada 7;2005;Área offshore arrematada (km2);7.735
Rodada 9;2007;Área offshore arrematada (km2);13.419
Rodada 10;2008;Área offshore arrematada (km2);-
Rodada 11;2013;Área offshore arrematada (km2);35.374
Rodada 12;2013;Área offshore arrematada (km2);-
Rodada 13;2015;Área offshore arrematada (km2);1.513
Rodada 14 ;2017;Área offshore arrematada (km2);8.153
Rodada 15;2018;Área offshore arrematada (km2);16.400
Rodada 16;2019;Área offshore arrematada (km2);11.762
Rodada 17;2021;Área offshore arrematada (km2);3.426
Rodada 1;1999;Área concedida (km²);54.660
Rodada 2;2000;Área concedida (km²);48.074
Rodada 3;2001;Área concedida (km²);48.629
Rodada 4;2002;Área concedida (km²);25.289
Rodada 5;2003;Área concedida (km²);21.951
Rodada 6;2004;Área concedida (km²);39.657
Rodada 7;2005;Área concedida (km²);171.007
Rodada 9;2007;Área concedida (km²);45.329
Rodada 10;2008;Área concedida (km²);44.954
Rodada 11;2013;Área concedida (km²);61.259
Rodada 12;2013;Área concedida (km²);20.371
Rodada 13;2015;Área concedida (km²);33.513
Rodada 14 ;2017;Área concedida (km²);24.887
Rodada 15;2018;Área concedida (km²);16.400
Rodada 16;2019;Área concedida (km²);11.762
Rodada 17;2021;Área concedida (km²);3.426
Rodada 1;1999;Área onshore concedida;-
Rodada 2;2000;Área onshore concedida;10.227
Rodada 3;2001;Área onshore concedida;2.363
Rodada 4;2002;Área onshore concedida;10.620
Rodada 5;2003;Área onshore concedida;697
Rodada 6;2004;Área onshore concedida;2.846
Rodada 7;2005;Área onshore concedida;163.272
Rodada 9;2007;Área onshore concedida;31.910
Rodada 10;2008;Área onshore concedida;44.954
Rodada 11;2013;Área onshore concedida;29.085
Rodada 12;2013;Área onshore concedida;20.371
Rodada 13;2015;Área onshore concedida;32.000
Rodada 14 ;2017;Área onshore concedida;16.734
Rodada 15;2018;Área onshore concedida;-
