TIPO DE DERIVADO;DERIVADOS DE PETRÓLEO;ANO;PRODUÇÃO
Energéticos;QAV;2014;6079114
Energéticos;QAV;2015;5656859
Energéticos;QAV;2016;5789278
Energéticos;QAV;2017;6168600
Energéticos;QAV;2018;6376333
Energéticos;QAV;2019;6066674
Energéticos;QAV;2020;3332770
Energéticos;QAV;2021;4074103,434
Energéticos;Querosene iluminante;2012;23885
Energéticos;Querosene iluminante;2013;15393,119
Energéticos;Querosene iluminante;2014;12004,85
Energéticos;Querosene iluminante;2015;7396,171
Energéticos;Querosene iluminante;2016;7667,517
Energéticos;Querosene iluminante;2017;5829,66
Energéticos;Querosene iluminante;2018;5735,973
Energéticos;Querosene iluminante;2019;4834,11
Energéticos;Querosene iluminante;2020;5306,201
Energéticos;Querosene iluminante;2021;5553,605
Energéticos;Outros;2012;386345
Energéticos;Outros;2013;248094
Energéticos;Outros;2014;460217
Energéticos;Outros;2015;363660
Energéticos;Outros;2016;120403
Energéticos;Outros;2017;62709
Energéticos;Outros;2018;0
Energéticos;Outros;2019;0
Energéticos;Outros;2020;0
Energéticos;Outros;2021;0
Não energéticos;Asfalto;2012;2569635
Não energéticos;Asfalto;2013;2653347,904
Não energéticos;Asfalto;2014;3248852,673
Não energéticos;Asfalto;2015;2015366,239
Não energéticos;Asfalto;2016;2152075,09
Não energéticos;Asfalto;2017;1955427,412
Não energéticos;Asfalto;2018;1899816,093
Não energéticos;Asfalto;2019;1721536,657
Não energéticos;Asfalto;2020;2318275,235
Não energéticos;Asfalto;2021;1875769,694
Não energéticos;Coque;2012;4452350
Não energéticos;Coque;2013;4810510,422
Não energéticos;Coque;2014;4748863,83
Não energéticos;Coque;2015;4958620,427
Não energéticos;Coque;2016;5076585,802
Não energéticos;Coque;2017;4928529,242
Não energéticos;Coque;2018;4468571,829
Não energéticos;Coque;2019;4411888,58
Não energéticos;Coque;2020;4332410,912
Não energéticos;Coque;2021;4367407,934
Não energéticos;Nafta;2012;6440115
Não energéticos;Nafta;2013;5354013,729
Não energéticos;Nafta;2014;5074640,161
Não energéticos;Nafta;2015;4608815,562
Não energéticos;Nafta;2016;3175690,619
Não energéticos;Nafta;2017;3086304,634
Não energéticos;Nafta;2018;4046483,474
Não energéticos;Nafta;2019;4480133,322
Não energéticos;Nafta;2020;6194690,592
Não energéticos;Nafta;2021;4623047,676
Não energéticos;Óleo lubrificante ;2012;607979
Não energéticos;Óleo lubrificante ;2013;689214
Não energéticos;Óleo lubrificante ;2014;682053,4499
Não energéticos;Óleo lubrificante ;2015;640489,5912
Não energéticos;Óleo lubrificante ;2016;616528,5532
Não energéticos;Óleo lubrificante ;2017;593536,1715
Não energéticos;Óleo lubrificante ;2018;602881
Não energéticos;Óleo lubrificante ;2019;566063
Não energéticos;Óleo lubrificante ;2020;454679
Não energéticos;Óleo lubrificante ;2021;621662,144
Não energéticos;Parafina;2012;123445
Não energéticos;Parafina;2013;122646,6764
Não energéticos;Parafina;2014;134635,5682
Não energéticos;Parafina;2015;136934,4411
Não energéticos;Parafina;2016;162365,8637
Não energéticos;Parafina;2017;120051,1111
Não energéticos;Parafina;2018;126196,8223
Não energéticos;Parafina;2019;124131,475
Não energéticos;Parafina;2020;73600,24958
Não energéticos;Parafina;2021;57115,31765
Não energéticos;Solvente;2012;290241
Não energéticos;Solvente;2013;454262,279
Não energéticos;Solvente;2014;384261,93
Não energéticos;Solvente;2015;358133,8222
Não energéticos;Solvente;2016;336157,9538
Não energéticos;Solvente;2017;326117,2543
Não energéticos;Solvente;2018;330009,3822
Não energéticos;Solvente;2019;312789,6541
Não energéticos;Solvente;2020;317673,6123
Não energéticos;Solvente;2021;411407,778
Não energéticos;Outros;2012;3191837
Não energéticos;Outros;2013;3055004,172
Não energéticos;Outros;2014;3161852,34
Não energéticos;Outros;2015;2684588,541
Não energéticos;Outros;2016;2668292,928
Não energéticos;Outros;2017;2623068,937
Não energéticos;Outros;2018;2549987,989
Não energéticos;Outros;2019;2709302,47
Não energéticos;Outros;2020;2285612,36
Não energéticos;Outros;2021;2375803,365
