UNIDADES DA FEDERAÇÃO;LOCALIZAÇÃO;ANO;QUEIMA E PERDA DE GÁS NATURAL
Espírito Santo;Mar;2015;107,3624436
Espírito Santo;Mar;2016;79,3160628
Espírito Santo;Mar;2017;80,9983987
Espírito Santo;Mar;2018;70,48265216
Espírito Santo;Mar;2019;70,298
Espírito Santo;Mar;2020;54,98311588
Espírito Santo;Mar;2021;64,263357
Rio de Janeiro;Mar;2012;850,7
Rio de Janeiro;Mar;2013;751,357
Rio de Janeiro;Mar;2014;1037,207742
Rio de Janeiro;Mar;2015;998,5503516
Rio de Janeiro;Mar;2016;1116,389411
Rio de Janeiro;Mar;2017;1000,169831
Rio de Janeiro;Mar;2018;1057,497783
Rio de Janeiro;Mar;2019;1235,582
Rio de Janeiro;Mar;2020;973,0057344
Rio de Janeiro;Mar;2021;958,95049
São Paulo;Mar;2012;66,1
São Paulo;Mar;2013;135,87
São Paulo;Mar;2014;75,102203
São Paulo;Mar;2015;87,43658988
São Paulo;Mar;2016;65,650659
São Paulo;Mar;2017;99,200625
São Paulo;Mar;2018;79,38424769
São Paulo;Mar;2019;114,215
São Paulo;Mar;2020;46,51929434
São Paulo;Mar;2021;60,059264
