REGIÃO GEOGRÁFICA;PAÍS;ANO;CONSUMO DE PETRÓLEO
Europa;Itália;2012;1367
Europa;Itália;2013;1260,603327
Europa;Itália;2014;1195,773919
Europa;Itália;2015;1263,675687
Europa;Itália;2016;1255,160698
Europa;Itália;2017;1274,028894
Europa;Itália;2018;1300,162429
Europa;Itália;2019;1258,653696
Europa;Itália;2020;1039,31008
Europa;Itália;2021;1155,871807
Europa;Letônia;2012;33
Europa;Letônia;2013;33,38651366
Europa;Letônia;2014;33,64790894
Europa;Letônia;2015;35,30699084
Europa;Letônia;2016;36,32933998
Europa;Letônia;2017;37,24753152
Europa;Letônia;2018;33,51612112
Europa;Letônia;2019;38,09698118
Europa;Letônia;2020;33,1656668
Europa;Letônia;2021;33,82748231
Europa;Lituânia;2012;53
Europa;Lituânia;2013;51,81053425
Europa;Lituânia;2014;51,01497534
Europa;Lituânia;2015;55,41914521
Europa;Lituânia;2016;59,92838251
Europa;Lituânia;2017;62,38849589
Europa;Lituânia;2018;65,63375342
Europa;Lituânia;2019;65,69810959
Europa;Lituânia;2020;61,49414966
Europa;Lituânia;2021;64,33962595
Europa;Luxemburgo;2012;58
Europa;Luxemburgo;2013;57,11082236
Europa;Luxemburgo;2014;55,08732656
Europa;Luxemburgo;2015;54,14690926
Europa;Luxemburgo;2016;53,95885338
Europa;Luxemburgo;2017;56,6655093
Europa;Luxemburgo;2018;59,97377052
Europa;Luxemburgo;2019;60,64415805
Europa;Luxemburgo;2020;49,05276311
Europa;Luxemburgo;2021;50,80411077
Europa;Macedônia do Norte;2012;19
Europa;Macedônia do Norte;2013;18,5861014
Europa;Macedônia do Norte;2014;18,5494126
Europa;Macedônia do Norte;2015;19,93085666
Europa;Macedônia do Norte;2016;22,14297377
Europa;Macedônia do Norte;2017;21,32417654
Europa;Macedônia do Norte;2018;20,59330173
Europa;Macedônia do Norte;2019;22,37791255
Europa;Macedônia do Norte;2020;20,4154406
Europa;Macedônia do Norte;2021;23,69111679
Europa;Noruega;2012;215
Europa;Noruega;2013;225,5544181
Europa;Noruega;2014;215,5393138
Europa;Noruega;2015;216,9818915
Europa;Noruega;2016;209,929563
Europa;Noruega;2017;212,2764873
Europa;Noruega;2018;220,7286906
Europa;Noruega;2019;212,6494391
Europa;Noruega;2020;203,8358384
Europa;Noruega;2021;199,1446669
Europa;Países Baixos (Holanda);2012;916
Europa;Países Baixos (Holanda);2013;889,3858893
Europa;Países Baixos (Holanda);2014;856,1299748
Europa;Países Baixos (Holanda);2015;825,6041699
Europa;Países Baixos (Holanda);2016;843,487496
Europa;Países Baixos (Holanda);2017;818,0865826
Europa;Países Baixos (Holanda);2018;843,3762738
Europa;Países Baixos (Holanda);2019;811,6847917
Europa;Países Baixos (Holanda);2020;739,824683
Europa;Países Baixos (Holanda);2021;741,7148926
Europa;Polônia;2012;552
Europa;Polônia;2013;519,6169107
Europa;Polônia;2014;520,8728011
Europa;Polônia;2015;542,3743901
Europa;Polônia;2016;593,9606335
