GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;PREÇO MÉDIO1 DO GLP AO CONSUMIDOR;ANO
Região Sul;Santa Catarina;4,072987179;2016
Região Sul;Santa Catarina;4,433403846;2017
Região Sul;Santa Catarina;5,268378205;2018
Região Sul;Santa Catarina;5,422826923;2019
Região Sul;Santa Catarina;5,708027972;2020
Região Sul;Santa Catarina;7,468487179;2021
Região Sul;Rio Grande do Sul;3,062;2012
Região Sul;Rio Grande do Sul;3,230435897;2013
Região Sul;Rio Grande do Sul;3,287801282;2014
Região Sul;Rio Grande do Sul;3,669;2015
Região Sul;Rio Grande do Sul;4,23425641;2016
Região Sul;Rio Grande do Sul;4,615429487;2017
Região Sul;Rio Grande do Sul;5,220262821;2018
Região Sul;Rio Grande do Sul;5,35525;2019
Região Sul;Rio Grande do Sul;5,418762238;2020
Região Sul;Rio Grande do Sul;6,842442308;2021
Região Centro-Oeste;Mato Grosso do Sul;3,611;2012
Região Centro-Oeste;Mato Grosso do Sul;3,704192308;2013
Região Centro-Oeste;Mato Grosso do Sul;3,895326923;2014
Região Centro-Oeste;Mato Grosso do Sul;4,336;2015
Região Centro-Oeste;Mato Grosso do Sul;4,90250641;2016
Região Centro-Oeste;Mato Grosso do Sul;5,160352564;2017
Região Centro-Oeste;Mato Grosso do Sul;5,657602564;2018
Região Centro-Oeste;Mato Grosso do Sul;5,47550641;2019
Região Centro-Oeste;Mato Grosso do Sul;5,516888112;2020
Região Centro-Oeste;Mato Grosso do Sul;6,867916667;2021
Região Centro-Oeste;Mato Grosso;3,728;2012
Região Centro-Oeste;Mato Grosso;3,904807692;2013
Região Centro-Oeste;Mato Grosso;4,134762821;2014
Região Centro-Oeste;Mato Grosso;4,893;2015
Região Centro-Oeste;Mato Grosso;5,657237179;2016
Região Centro-Oeste;Mato Grosso;6,430403846;2017
Região Centro-Oeste;Mato Grosso;7,39675641;2018
Região Centro-Oeste;Mato Grosso;7,425057692;2019
Região Centro-Oeste;Mato Grosso;7,378083916;2020
Região Centro-Oeste;Mato Grosso;8,568269231;2021
Região Centro-Oeste;Goiás;3,093;2012
Região Centro-Oeste;Goiás;3,152173077;2013
Região Centro-Oeste;Goiás;3,239474359;2014
Região Centro-Oeste;Goiás;3,618;2015
Região Centro-Oeste;Goiás;4,327839744;2016
Região Centro-Oeste;Goiás;4,649961538;2017
Região Centro-Oeste;Goiás;5,603519231;2018
Região Centro-Oeste;Goiás;5,535705128;2019
Região Centro-Oeste;Goiás;5,580594406;2020
Região Centro-Oeste;Goiás;7,323102564;2021
Região Centro-Oeste;Distrito Federal;2,878;2012
Região Centro-Oeste;Distrito Federal;3,178653846;2013
Região Centro-Oeste;Distrito Federal;3,348769231;2014
Região Centro-Oeste;Distrito Federal;3,785;2015
Região Centro-Oeste;Distrito Federal;4,442134615;2016
Região Centro-Oeste;Distrito Federal;4,776935897;2017
Região Centro-Oeste;Distrito Federal;5,500384615;2018
Região Centro-Oeste;Distrito Federal;5,644038462;2019
Região Centro-Oeste;Distrito Federal;5,45265035;2020
Região Centro-Oeste;Distrito Federal;6,635557692;2021
