GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;PREÇO MÉDIO1 DO ÓLEO DIESEL AO CONSUMIDOR;ANO
Região Sudeste;Rio de Janeiro;2,274333333;2013
Região Sudeste;Rio de Janeiro;2,46825;2014
Região Sudeste;Rio de Janeiro;2,8;2015
Região Sudeste;Rio de Janeiro;3,059;2016
Região Sudeste;Rio de Janeiro;3,219333333;2017
Região Sudeste;Rio de Janeiro;3,570666667;2018
Região Sudeste;Rio de Janeiro;3,590083333;2019
Região Sudeste;Rio de Janeiro;3,463363636;2020
Região Sudeste;Rio de Janeiro;4,528666667;2021
Região Sudeste;São Paulo;2,034;2012
Região Sudeste;São Paulo;2,268;2013
Região Sudeste;São Paulo;2,448083333;2014
Região Sudeste;São Paulo;2,743333333;2015
Região Sudeste;São Paulo;2,913;2016
Região Sudeste;São Paulo;3,030833333;2017
Região Sudeste;São Paulo;3,378583333;2018
Região Sudeste;São Paulo;3,482833333;2019
Região Sudeste;São Paulo;3,338545455;2020
Região Sudeste;São Paulo;4,4895;2021
Região Sul;Paraná;2,022;2012
Região Sul;Paraná;2,25225;2013
Região Sul;Paraná;2,448833333;2014
Região Sul;Paraná;2,73325;2015
Região Sul;Paraná;2,85525;2016
Região Sul;Paraná;2,906416667;2017
Região Sul;Paraná;3,27775;2018
Região Sul;Paraná;3,371;2019
Região Sul;Paraná;3,195727273;2020
Região Sul;Paraná;4,337333333;2021
Região Sul;Santa Catarina;2,102;2012
Região Sul;Santa Catarina;2,322;2013
Região Sul;Santa Catarina;2,512083333;2014
Região Sul;Santa Catarina;2,792;2015
Região Sul;Santa Catarina;2,94675;2016
Região Sul;Santa Catarina;3,040583333;2017
Região Sul;Santa Catarina;3,350416667;2018
Região Sul;Santa Catarina;3,453333333;2019
Região Sul;Santa Catarina;3,362727273;2020
Região Sul;Santa Catarina;4,463666667;2021
Região Sul;Rio Grande do Sul;2,129;2012
Região Sul;Rio Grande do Sul;2,332166667;2013
Região Sul;Rio Grande do Sul;2,504416667;2014
Região Sul;Rio Grande do Sul;2,794666667;2015
Região Sul;Rio Grande do Sul;2,942666667;2016
Região Sul;Rio Grande do Sul;3,022583333;2017
Região Sul;Rio Grande do Sul;3,421166667;2018
Região Sul;Rio Grande do Sul;3,50675;2019
Região Sul;Rio Grande do Sul;3,374181818;2020
Região Sul;Rio Grande do Sul;4,451666667;2021
Região Centro-Oeste;Mato Grosso do Sul;2,229;2012
Região Centro-Oeste;Mato Grosso do Sul;2,476083333;2013
Região Centro-Oeste;Mato Grosso do Sul;2,675083333;2014
Região Centro-Oeste;Mato Grosso do Sul;3,00725;2015
Região Centro-Oeste;Mato Grosso do Sul;3,26475;2016
Região Centro-Oeste;Mato Grosso do Sul;3,450083333;2017
Região Centro-Oeste;Mato Grosso do Sul;3,665666667;2018
Região Centro-Oeste;Mato Grosso do Sul;3,629583333;2019
Região Centro-Oeste;Mato Grosso do Sul;3,486909091;2020
Região Centro-Oeste;Mato Grosso do Sul;4,532333333;2021
Região Centro-Oeste;Mato Grosso;2,339;2012
Região Centro-Oeste;Mato Grosso;2,567416667;2013
Região Centro-Oeste;Mato Grosso;2,763416667;2014
Região Centro-Oeste;Mato Grosso;3,08075;2015
Região Centro-Oeste;Mato Grosso;3,291583333;2016
Região Centro-Oeste;Mato Grosso;3,43525;2017
Região Centro-Oeste;Mato Grosso;3,80725;2018
Região Centro-Oeste;Mato Grosso;3,926333333;2019
Região Centro-Oeste;Mato Grosso;3,669545455;2020
Região Centro-Oeste;Mato Grosso;4,858416667;2021
Região Centro-Oeste;Goiás;2,079;2012
Região Centro-Oeste;Goiás;2,314666667;2013
Região Centro-Oeste;Goiás;2,55175;2014
Região Centro-Oeste;Goiás;2,863166667;2015
Região Centro-Oeste;Goiás;3,016083333;2016
Região Centro-Oeste;Goiás;3,178333333;2017
Região Centro-Oeste;Goiás;3,582916667;2018
Região Centro-Oeste;Goiás;3,63425;2019
Região Centro-Oeste;Goiás;3,466909091;2020
Região Centro-Oeste;Goiás;4,667;2021
Região Centro-Oeste;Distrito Federal;2,072;2012
Região Centro-Oeste;Distrito Federal;2,3905;2013
Região Centro-Oeste;Distrito Federal;2,556666667;2014
Região Centro-Oeste;Distrito Federal;2,9215;2015
Região Centro-Oeste;Distrito Federal;3,181083333;2016
Região Centro-Oeste;Distrito Federal;3,328;2017
Região Centro-Oeste;Distrito Federal;3,6625;2018
Região Centro-Oeste;Distrito Federal;3,718083333;2019
Região Centro-Oeste;Distrito Federal;3,488545455;2020
Região Centro-Oeste;Distrito Federal;4,649583333;2021
