REGIÃO REOGRÁFICA;PAÍS;PRODUTO;EXPORTAÇÃO DE DERIVADOS DE PETRÓLEO
Américas Central e do Sul;Islândia;Coque;18,4
Américas Central e do Sul;Islândia;Lubrificante;0
Américas Central e do Sul;Islândia;Diesel;0
Américas Central e do Sul;Islândia;GLP;0
Américas Central e do Sul;Itália;Óleo combustível;9,8
Américas Central e do Sul;Itália;Gasolina A;0
Américas Central e do Sul;Itália;Solvente;0
Américas Central e do Sul;Itália;Coque;0,2
Américas Central e do Sul;Itália;Lubrificante;0,2
Américas Central e do Sul;Itália;Diesel;0,3
Américas Central e do Sul;Itália;GLP;0
Américas Central e do Sul;Luxemburgo;Óleo combustível;2,2
Américas Central e do Sul;Luxemburgo;Gasolina A;0
Américas Central e do Sul;Luxemburgo;Solvente;0
Américas Central e do Sul;Luxemburgo;Coque;0
Américas Central e do Sul;Luxemburgo;Lubrificante;0
Américas Central e do Sul;Luxemburgo;Diesel;0,5
Américas Central e do Sul;Luxemburgo;GLP;0
Américas Central e do Sul;Malta;Óleo combustível;224,8
Américas Central e do Sul;Malta;Gasolina A;0
Américas Central e do Sul;Malta;Solvente;0
Américas Central e do Sul;Malta;Coque;0
Américas Central e do Sul;Malta;Lubrificante;0,3
Américas Central e do Sul;Malta;Diesel;9,7
Américas Central e do Sul;Malta;GLP;0
Américas Central e do Sul;Noruega;Óleo combustível;114,4
Américas Central e do Sul;Noruega;Gasolina A;0
Américas Central e do Sul;Noruega;Solvente;0
Américas Central e do Sul;Noruega;Coque;10,6
Américas Central e do Sul;Noruega;Lubrificante;0,1
Américas Central e do Sul;Noruega;Diesel;0,3
Américas Central e do Sul;Noruega;GLP;0
Américas Central e do Sul;Portugal;Óleo combustível;60,5
Américas Central e do Sul;Portugal;Gasolina A;0
Américas Central e do Sul;Portugal;Solvente;0
Américas Central e do Sul;Portugal;Coque;0
Américas Central e do Sul;Portugal;Lubrificante;0,1
Américas Central e do Sul;Portugal;Diesel;0,1
Américas Central e do Sul;Portugal;GLP;0
Américas Central e do Sul;Reino Unido;Óleo combustível;11,9
Américas Central e do Sul;Reino Unido;Gasolina A;0
Américas Central e do Sul;Reino Unido;Solvente;0
Américas Central e do Sul;Reino Unido;Coque;0,1
Américas Central e do Sul;Reino Unido;Lubrificante;3
Américas Central e do Sul;Reino Unido;Diesel;0,9
Américas Central e do Sul;Reino Unido;GLP;0
Américas Central e do Sul;Suíça;Óleo combustível;6,9
Américas Central e do Sul;Suíça;Gasolina A;0
Américas Central e do Sul;Suíça;Solvente;0
Américas Central e do Sul;Suíça;Coque;0
Américas Central e do Sul;Suíça;Lubrificante;0
Américas Central e do Sul;Suíça;Diesel;0
Américas Central e do Sul;Suíça;GLP;0
Américas Central e do Sul;Turquia;Óleo combustível;7,5
Américas Central e do Sul;Turquia;Gasolina A;0
Américas Central e do Sul;Turquia;Solvente;0
Américas Central e do Sul;Turquia;Coque;14,6
Américas Central e do Sul;Turquia;Lubrificante;0,1
Américas Central e do Sul;Turquia;Diesel;0
Américas Central e do Sul;Turquia;GLP;0
Américas Central e do Sul;Outros3;Óleo combustível;12,8
Américas Central e do Sul;Outros3;Gasolina A;0
Américas Central e do Sul;Outros3;Solvente;0
Américas Central e do Sul;Outros3;Coque;0
Américas Central e do Sul;Outros3;Lubrificante;0
Américas Central e do Sul;Outros3;Diesel;0,4
Américas Central e do Sul;Outros3;GLP;0
Américas Central e do Sul;Comunidade dos Estados Independentes;Óleo combustível;1,2
Américas Central e do Sul;Comunidade dos Estados Independentes;Gasolina A;0
