GRANDES REGIÕES;UNIDADDES DA FEDERAÇÃO;VENDAS DE GASOLINA DE AVIAÇÃO PELAS DISTRIBUIDORAS;ANO
Região Nordeste;Ceará;551,7083416;2015
Região Nordeste;Ceará;593,371;2016
Região Nordeste;Ceará;545,045;2017
Região Nordeste;Ceará;503,577;2018
Região Nordeste;Ceará;356,08;2019
Região Nordeste;Ceará;251,137;2020
Região Nordeste;Ceará;386,476;2021
Região Nordeste;Rio Grande do Norte;244;2012
Região Nordeste;Rio Grande do Norte;258,2062608;2013
Região Nordeste;Rio Grande do Norte;198,738;2014
Região Nordeste;Rio Grande do Norte;159,2929991;2015
Região Nordeste;Rio Grande do Norte;115,99;2016
Região Nordeste;Rio Grande do Norte;101,795;2017
Região Nordeste;Rio Grande do Norte;125,339;2018
Região Nordeste;Rio Grande do Norte;104,141;2019
Região Nordeste;Rio Grande do Norte;60,659;2020
Região Nordeste;Rio Grande do Norte;114,555;2021
Região Nordeste;Paraíba;268;2012
Região Nordeste;Paraíba;296,7019104;2013
Região Nordeste;Paraíba;407,968;2014
Região Nordeste;Paraíba;345,8499048;2015
Região Nordeste;Paraíba;276,17;2016
Região Nordeste;Paraíba;246,95;2017
Região Nordeste;Paraíba;249,223;2018
Região Nordeste;Paraíba;199,931;2019
Região Nordeste;Paraíba;131,126;2020
Região Nordeste;Paraíba;171,329;2021
Região Nordeste;Pernambuco;532;2012
Região Nordeste;Pernambuco;601,0744703;2013
Região Nordeste;Pernambuco;673,933;2014
Região Nordeste;Pernambuco;591,5319355;2015
Região Nordeste;Pernambuco;458,75;2016
Região Nordeste;Pernambuco;457,8;2017
Região Nordeste;Pernambuco;348,376;2018
Região Nordeste;Pernambuco;323,038;2019
Região Nordeste;Pernambuco;305,993;2020
Região Nordeste;Pernambuco;420,808;2021
Região Nordeste;Alagoas ;262;2012
Região Nordeste;Alagoas ;246,4471911;2013
Região Nordeste;Alagoas ;314,517;2014
Região Nordeste;Alagoas ;202,7441088;2015
Região Nordeste;Alagoas ;208,85;2016
Região Nordeste;Alagoas ;121,121;2017
Região Nordeste;Alagoas ;189,83;2018
Região Nordeste;Alagoas ;180,211;2019
Região Nordeste;Alagoas ;140,954;2020
Região Nordeste;Alagoas ;163,248;2021
Região Nordeste;Sergipe;67;2012
Região Nordeste;Sergipe;65,20290371;2013
Região Nordeste;Sergipe;57,621;2014
Região Nordeste;Sergipe;39,00245489;2015
Região Nordeste;Sergipe;56,258;2016
Região Nordeste;Sergipe;40;2017
Região Nordeste;Sergipe;40,659;2018
Região Nordeste;Sergipe;49,124;2019
Região Nordeste;Sergipe;47,378;2020
Região Nordeste;Sergipe;38,435;2021
Região Nordeste;Bahia;3437;2012
Região Nordeste;Bahia;2949,107895;2013
Região Nordeste;Bahia;3141,415;2014
Região Nordeste;Bahia;2422,13169;2015
Região Nordeste;Bahia;2112,85;2016
Região Nordeste;Bahia;1517,79;2017
Região Nordeste;Bahia;1561,238;2018
Região Nordeste;Bahia;1265,237;2019
Região Nordeste;Bahia;939,652;2020
Região Nordeste;Bahia;1450,832;2021
Região Sudeste;Minas Gerais;4889;2012
Região Sudeste;Minas Gerais;5048,796457;2013
Região Sudeste;Minas Gerais;5732,97;2014
Região Sudeste;Minas Gerais;4718,364642;2015
Região Sudeste;Minas Gerais;4151,514;2016
Região Sudeste;Minas Gerais;4410,212;2017
Região Sudeste;Minas Gerais;4317,462;2018
Região Sudeste;Minas Gerais;3780,294;2019
Região Sudeste;Minas Gerais;3048,888;2020
Região Sudeste;Minas Gerais;3683,725;2021
Região Sudeste;Espírito Santo;277;2012
Região Sudeste;Espírito Santo;394,7501095;2013
Região Sudeste;Espírito Santo;476,309;2014
Região Sudeste;Espírito Santo;684,5563512;2015
Região Sudeste;Espírito Santo;645,641;2016
Região Sudeste;Espírito Santo;777,34;2017
Região Sudeste;Espírito Santo;679,969;2018
Região Sudeste;Espírito Santo;691,746;2019
Região Sudeste;Espírito Santo;495,699;2020
Região Sudeste;Espírito Santo;536,8;2021
Região Sudeste;Rio de Janeiro;1248;2012
Região Sudeste;Rio de Janeiro;1752,684256;2013
Região Sudeste;Rio de Janeiro;1587,464;2014
Região Sudeste;Rio de Janeiro;1236,607084;2015
Região Sudeste;Rio de Janeiro;961,281;2016
