TIPO DE DERIVADO;DERIVADO DE PETRÓLEO;VOLUME EXPORTADO;ANO
Não energéticos;Nafta ;0;2014
Não energéticos;Nafta ;0;2015
Não energéticos;Nafta ;0;2016
Não energéticos;Nafta ;0;2017
Não energéticos;Nafta ;0;2018
Não energéticos;Nafta ;0;2019
Não energéticos;Nafta ;76,99735143;2020
Não energéticos;Nafta ;301,48092;2021
Não energéticos;Óleo lubrificante;119,4;2012
Não energéticos;Óleo lubrificante;120,084;2013
Não energéticos;Óleo lubrificante;173,255;2014
Não energéticos;Óleo lubrificante;94,29482791;2015
Não energéticos;Óleo lubrificante;78,963221;2016
Não energéticos;Óleo lubrificante;82,956569;2017
Não energéticos;Óleo lubrificante;78,09581628;2018
Não energéticos;Óleo lubrificante;97,43169767;2019
Não energéticos;Óleo lubrificante;94,56057442;2020
Não energéticos;Óleo lubrificante;140,7327709;2021
Não energéticos;Parafina ;6,3;2012
Não energéticos;Parafina ;8,056;2013
Não energéticos;Parafina ;7,501;2014
Não energéticos;Parafina ;14,04223049;2015
Não energéticos;Parafina ;35,550241;2016
Não energéticos;Parafina ;24,657296;2017
Não energéticos;Parafina ;10,36305122;2018
Não energéticos;Parafina ;10,1967122;2019
Não energéticos;Parafina ;4,355256098;2020
Não energéticos;Parafina ;3,144036585;2021
Não energéticos;Solvente;326,7;2012
Não energéticos;Solvente;641,85;2013
Não energéticos;Solvente;718,165;2014
Não energéticos;Solvente;640,3621471;2015
Não energéticos;Solvente;582,562459;2016
Não energéticos;Solvente;653,873834;2017
Não energéticos;Solvente;445,643726;2018
Não energéticos;Solvente;426,3505452;2019
Não energéticos;Solvente;327,7483347;2020
Não energéticos;Solvente;266,4436532;2021
Não energéticos;Outros4;319,4;2012
Não energéticos;Outros4;405,678;2013
Não energéticos;Outros4;442,326;2014
Não energéticos;Outros4;443,0530007;2015
Não energéticos;Outros4;466,891408;2016
Não energéticos;Outros4;664,59343;2017
Não energéticos;Outros4;636,2521385;2018
Não energéticos;Outros4;669,576;2019
Não energéticos;Outros4;651,3623197;2020
Não energéticos;Outros4;967,281067;2021
