BENEFICIÁRIO;ANO;DISTRIBUIÇÃO DA PARTICIPAÇÃO ESPECIAL SOBRE A PRODUÇÃO DE PETRÓLEO E DE GÁS NATURAL
Município de Cairu-BA;2012;1817
Município de Cairu-BA;2013;2243,53077
Município de Cairu-BA;2014;2581,98723
Município de Cairu-BA;2015;1950,41854
Município de Cairu-BA;2016;1710,78893
Município de Cairu-BA;2017;968,54354
Município de Cairu-BA;2018;1720,19467
Município de Cairu-BA;2019;494,38701
Município de Cairu-BA;2020;311,39965
Município de Cairu-BA;2021;358,5481
Município de Campos dos Goytacazes-RJ;2012;712934
Município de Campos dos Goytacazes-RJ;2013;680079,1679
Município de Campos dos Goytacazes-RJ;2014;654104,342
Município de Campos dos Goytacazes-RJ;2015;287515,1722
Município de Campos dos Goytacazes-RJ;2016;80707,57116
Município de Campos dos Goytacazes-RJ;2017;125808,4626
Município de Campos dos Goytacazes-RJ;2018;243821,892
Município de Campos dos Goytacazes-RJ;2019;128022,5191
Município de Campos dos Goytacazes-RJ;2020;6987,26869
Município de Campos dos Goytacazes-RJ;2021;129562,2175
Município de Caraguatatuba-SP;2012;0
Município de Caraguatatuba-SP;2013;0
Município de Caraguatatuba-SP;2014;172,26875
Município de Caraguatatuba-SP;2015;208,2387
Município de Caraguatatuba-SP;2016;33,0464
Município de Caraguatatuba-SP;2017;427,82311
Município de Caraguatatuba-SP;2018;355,99565
Município de Caraguatatuba-SP;2019;509,17709
Município de Caraguatatuba-SP;2020;201,35658
Município de Caraguatatuba-SP;2021;229,79678
Município de Carapebus-RJ;2012;2352
Município de Carapebus-RJ;2013;1929,15682
Município de Carapebus-RJ;2014;1966,48127
Município de Carapebus-RJ;2015;676,04154
Município de Carapebus-RJ;2016;48,05462
Município de Carapebus-RJ;2017;126,69453
Município de Carapebus-RJ;2018;344,2177
Município de Carapebus-RJ;2019;150,78595
Município de Carapebus-RJ;2020;0
Município de Carapebus-RJ;2021;2598,23279
Município de Carmópolis-SE;2012;1416
Município de Carmópolis-SE;2013;1201,50172
Município de Carmópolis-SE;2014;1240,95803
Município de Carmópolis-SE;2015;95,48226
Município de Carmópolis-SE;2016;6,28899
Município de Carmópolis-SE;2017;4,30808
Município de Carmópolis-SE;2018;0
Município de Carmópolis-SE;2019;0
Município de Carmópolis-SE;2020;0
Município de Carmópolis-SE;2021;36,45506
Município de Carnaubais-RN;2012;0
Município de Carnaubais-RN;2013;0
Município de Carnaubais-RN;2014;0
Município de Carnaubais-RN;2015;0
Município de Carnaubais-RN;2016;0
Município de Carnaubais-RN;2017;0
Município de Carnaubais-RN;2018;0
Município de Carnaubais-RN;2019;0
Município de Carnaubais-RN;2020;0
Município de Carnaubais-RN;2021;0,0333
Município de Casimiro de Abreu-RJ;2012;47493
Município de Casimiro de Abreu-RJ;2013;45939,18591
Município de Casimiro de Abreu-RJ;2014;39599,88471
Município de Casimiro de Abreu-RJ;2015;10393,92714
Município de Casimiro de Abreu-RJ;2016;1960,41222
Município de Casimiro de Abreu-RJ;2017;4100,52471
Município de Casimiro de Abreu-RJ;2018;11657,62152
Município de Casimiro de Abreu-RJ;2019;8766,44583
Município de Casimiro de Abreu-RJ;2020;709,98288
Município de Casimiro de Abreu-RJ;2021;6029,93152
Município de Coari-AM;2012;15751
Município de Coari-AM;2013;16790,51761
Município de Coari-AM;2014;17494,01469
Município de Coari-AM;2015;9127,71522
Município de Coari-AM;2016;5981,36284
Município de Coari-AM;2017;6241,87734
Município de Coari-AM;2018;10222,1569
Município de Coari-AM;2019;23186,7417
Município de Coari-AM;2020;7988,00522
Município de Coari-AM;2021;18870,93688
Município de Fundão-ES;2012;0
Município de Fundão-ES;2013;0
Município de Fundão-ES;2014;0
Município de Fundão-ES;2015;0
Município de Fundão-ES;2016;0
Município de Fundão-ES;2017;0
Município de Fundão-ES;2018;0
Município de Fundão-ES;2019;0
Município de Fundão-ES;2020;0
Município de Fundão-ES;2021;0,02752
Município de General Maynard-SE;2012;5
Município de General Maynard-SE;2013;4,34545
Município de General Maynard-SE;2014;4,81956
Município de General Maynard-SE;2015;0
Município de General Maynard-SE;2016;0
Município de General Maynard-SE;2017;0
Município de General Maynard-SE;2018;0
Município de General Maynard-SE;2019;0
Município de General Maynard-SE;2020;0
Município de General Maynard-SE;2021;0,23994
Município de Iguape-SP;2012;0
Município de Iguape-SP;2013;432,5034
Município de Iguape-SP;2014;2728,11033
Município de Iguape-SP;2015;941,90938
Município de Iguape-SP;2016;220,33681
Município de Iguape-SP;2017;678,99002
Município de Iguape-SP;2018;468,60451
Município de Iguape-SP;2019;670,24044
Município de Iguape-SP;2020;265,04986
Município de Iguape-SP;2021;302,9729
Município de Ilha Comprida-SP;2012;0
Município de Ilha Comprida-SP;2013;5641,98248
Município de Ilha Comprida-SP;2014;31171,3381
Município de Ilha Comprida-SP;2015;7611,58091
Município de Ilha Comprida-SP;2016;2306,83035
Município de Ilha Comprida-SP;2017;1511,09327
Município de Ilha Comprida-SP;2018;0
Município de Ilha Comprida-SP;2019;0
Município de Ilha Comprida-SP;2020;0
Município de Ilha Comprida-SP;2021;2,78465
Município de Ilhabela-SP;2012;0
Município de Ilhabela-SP;2013;0
Município de Ilhabela-SP;2014;12630,18856
Município de Ilhabela-SP;2015;113508,982
Município de Ilhabela-SP;2016;82071,3944
Município de Ilhabela-SP;2017;211380,1003
Município de Ilhabela-SP;2018;394050,7133
Município de Ilhabela-SP;2019;395756,0487
Município de Ilhabela-SP;2020;219746,0185
Município de Ilhabela-SP;2021;229525,7096
Município de Itaguaí-RJ;2012;0
Município de Itaguaí-RJ;2013;0
Município de Itaguaí-RJ;2014;0
Município de Itaguaí-RJ;2015;0
Município de Itaguaí-RJ;2016;0
Município de Itaguaí-RJ;2017;0
Município de Itaguaí-RJ;2018;0
